[2026-06-03 20:16:14] gens_alive=3 load=67.99 | STT_6 xml=117234 asm=138336 errors=0 | SPT_6_oneLP xml=68731 asm=130266 errors=0 | Recon_6 xml=96708 asm=139291 errors=0
[2026-06-03 20:21:19] gens_alive=3 load=60.56 | STT_6 xml=121993 asm=144635 errors=0 | SPT_6_oneLP xml=71379 asm=136160 errors=0 | Recon_6 xml=100483 asm=144202 errors=0
[2026-06-03 20:26:24] gens_alive=3 load=65.22 | STT_6 xml=126604 asm=150895 errors=0 | SPT_6_oneLP xml=73980 asm=141484 errors=0 | Recon_6 xml=104641 asm=150539 errors=0
[2026-06-03 20:31:30] gens_alive=3 load=56.46 | STT_6 xml=132220 asm=153879 errors=0 | SPT_6_oneLP xml=76757 asm=147927 errors=0 | Recon_6 xml=108205 asm=157284 errors=0
[2026-06-03 20:36:35] gens_alive=3 load=66.43 | STT_6 xml=137789 asm=160170 errors=0 | SPT_6_oneLP xml=79395 asm=153209 errors=0 | Recon_6 xml=111944 asm=163841 errors=0
[2026-06-03 20:41:41] gens_alive=3 load=52.41 | STT_6 xml=143879 asm=166883 errors=0 | SPT_6_oneLP xml=82236 asm=159122 errors=0 | Recon_6 xml=115374 asm=170817 errors=0
[2026-06-03 20:46:47] gens_alive=3 load=57.98 | STT_6 xml=149814 asm=173416 errors=0 | SPT_6_oneLP xml=84947 asm=164421 errors=0 | Recon_6 xml=118751 asm=174809 errors=0
[2026-06-03 20:51:54] gens_alive=3 load=55.79 | STT_6 xml=150000 asm=179663 errors=0 | SPT_6_oneLP xml=87575 asm=170264 errors=0 | Recon_6 xml=121763 asm=181266 errors=0
[2026-06-03 20:57:00] gens_alive=3 load=59.92 | STT_6 xml=150000 asm=186079 errors=0 | SPT_6_oneLP xml=90229 asm=175915 errors=0 | Recon_6 xml=124549 asm=187908 errors=0
[2026-06-03 21:02:07] gens_alive=3 load=70.45 | STT_6 xml=150000 asm=192333 errors=0 | SPT_6_oneLP xml=92913 asm=180924 errors=0 | Recon_6 xml=128405 asm=194169 errors=0
[2026-06-03 21:07:14] gens_alive=3 load=63.10 | STT_6 xml=150000 asm=198349 errors=0 | SPT_6_oneLP xml=95496 asm=186176 errors=0 | Recon_6 xml=132499 asm=200423 errors=0
[2026-06-03 21:12:21] gens_alive=3 load=61.37 | STT_6 xml=150000 asm=204793 errors=0 | SPT_6_oneLP xml=98226 asm=191388 errors=0 | Recon_6 xml=136480 asm=206890 errors=0
[2026-06-03 21:17:28] gens_alive=3 load=54.66 | STT_6 xml=150000 asm=211118 errors=0 | SPT_6_oneLP xml=100520 asm=196659 errors=0 | Recon_6 xml=140377 asm=213363 errors=0
[2026-06-03 21:22:35] gens_alive=3 load=54.82 | STT_6 xml=150000 asm=217559 errors=0 | SPT_6_oneLP xml=103052 asm=202287 errors=0 | Recon_6 xml=144642 asm=218037 errors=0
[2026-06-03 21:27:42] gens_alive=3 load=53.49 | STT_6 xml=150000 asm=222329 errors=0 | SPT_6_oneLP xml=104186 asm=207271 errors=0 | Recon_6 xml=149096 asm=225320 errors=0
[2026-06-03 21:32:50] gens_alive=3 load=59.82 | STT_6 xml=150000 asm=228616 errors=0 | SPT_6_oneLP xml=106795 asm=211368 errors=0 | Recon_6 xml=150000 asm=231719 errors=0
[2026-06-03 21:37:58] gens_alive=3 load=52.88 | STT_6 xml=150000 asm=235547 errors=0 | SPT_6_oneLP xml=109603 asm=215834 errors=0 | Recon_6 xml=150000 asm=238718 errors=0
[2026-06-03 21:43:06] gens_alive=3 load=54.81 | STT_6 xml=150000 asm=242072 errors=0 | SPT_6_oneLP xml=112295 asm=220945 errors=0 | Recon_6 xml=150000 asm=245364 errors=0
[2026-06-03 21:48:13] gens_alive=3 load=59.77 | STT_6 xml=150000 asm=248406 errors=0 | SPT_6_oneLP xml=114728 asm=226006 errors=0 | Recon_6 xml=150000 asm=251821 errors=0
[2026-06-03 21:53:22] gens_alive=3 load=50.15 | STT_6 xml=150000 asm=255420 errors=0 | SPT_6_oneLP xml=117308 asm=231465 errors=0 | Recon_6 xml=150000 asm=258624 errors=0
[2026-06-03 21:58:29] gens_alive=3 load=64.41 | STT_6 xml=150000 asm=262079 errors=0 | SPT_6_oneLP xml=119887 asm=236829 errors=0 | Recon_6 xml=150000 asm=263271 errors=0
[2026-06-03 22:03:38] gens_alive=3 load=53.23 | STT_6 xml=150000 asm=268977 errors=0 | SPT_6_oneLP xml=122447 asm=242005 errors=0 | Recon_6 xml=150000 asm=270166 errors=0
[2026-06-03 22:08:45] gens_alive=3 load=58.38 | STT_6 xml=150000 asm=275886 errors=0 | SPT_6_oneLP xml=125079 asm=246374 errors=0 | Recon_6 xml=150000 asm=276684 errors=0
[2026-06-03 22:13:54] gens_alive=3 load=56.62 | STT_6 xml=150000 asm=281163 errors=0 | SPT_6_oneLP xml=127850 asm=251815 errors=0 | Recon_6 xml=150000 asm=283759 errors=0
[2026-06-03 22:19:03] gens_alive=3 load=56.10 | STT_6 xml=150000 asm=288047 errors=0 | SPT_6_oneLP xml=130586 asm=257292 errors=0 | Recon_6 xml=150000 asm=290550 errors=0
[2026-06-03 22:24:12] gens_alive=3 load=59.14 | STT_6 xml=150000 asm=295006 errors=0 | SPT_6_oneLP xml=133139 asm=262277 errors=0 | Recon_6 xml=150000 asm=296583 errors=0
[2026-06-03 22:29:21] gens_alive=3 load=35.00 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=136218 asm=268157 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 22:34:29] gens_alive=3 load=36.93 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=139999 asm=274899 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 22:39:36] gens_alive=3 load=37.35 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=143337 asm=281393 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 22:44:44] gens_alive=3 load=48.38 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=146633 asm=287541 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 22:49:52] gens_alive=3 load=33.80 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=148778 asm=293713 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 22:55:00] gens_alive=3 load=25.28 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:00:06] gens_alive=3 load=33.69 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:05:14] gens_alive=3 load=31.38 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:10:21] gens_alive=3 load=29.48 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:15:29] gens_alive=3 load=19.81 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:20:35] gens_alive=3 load=24.35 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:25:42] gens_alive=3 load=29.65 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:30:49] gens_alive=3 load=31.27 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:35:56] gens_alive=3 load=32.63 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:41:04] gens_alive=3 load=24.78 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:46:10] gens_alive=3 load=23.86 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:51:17] gens_alive=3 load=24.95 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-03 23:56:24] gens_alive=3 load=33.52 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-04 00:01:31] gens_alive=3 load=30.76 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-04 00:06:38] gens_alive=3 load=28.30 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-04 00:11:45] gens_alive=3 load=20.02 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-04 00:16:51] gens_alive=3 load=29.53 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-04 00:21:58] gens_alive=3 load=24.46 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-04 00:27:05] gens_alive=3 load=31.14 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-04 00:32:13] gens_alive=3 load=28.82 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
[2026-06-04 00:37:20] gens_alive=3 load=23.72 | STT_6 xml=150000 asm=300000 errors=0 | SPT_6_oneLP xml=150000 asm=300000 errors=0 | Recon_6 xml=150000 asm=300000 errors=0
